               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062088,            0.041084,                   0,              0.5935,             0.21668,             0.25365,             0.14292,            0.072463,            0.069173,                   0,            0.067008,          0.00033325,          0.00033325
                   1,            0.044609,            0.035689,                   0,             0.60721,             0.22238,              0.2577,             0.15265,             0.06693,            0.080963,                   0,            0.033975,          0.00063329,          0.00063329
                   2,            0.042625,             0.03532,                   0,             0.61639,             0.22455,             0.25769,             0.15609,              0.0642,            0.088541,                   0,          0.00090848,          0.00090002,          0.00090002
                   3,            0.041107,            0.035162,                   0,              0.6298,             0.22418,             0.25482,             0.15772,            0.063814,            0.094095,                   0,          0.00085015,          0.00085015,          0.00085015
                   4,            0.040256,               0.035,                   0,             0.61976,             0.22571,             0.25593,             0.15942,            0.063564,            0.095969,                   0,          0.00085015,          0.00085015,          0.00085015
                   5,            0.039708,            0.034814,                   0,             0.62199,             0.22734,             0.25531,             0.15988,            0.064291,            0.097575,                   0,           0.0008002,           0.0008002,           0.0008002
                   6,            0.039339,            0.034559,                   0,             0.63176,             0.22593,             0.25485,             0.16071,            0.064712,            0.098206,                   0,          0.00075025,          0.00075025,          0.00075025
                   7,            0.038985,             0.03452,                   0,             0.63016,               0.227,             0.25487,             0.16169,            0.064934,            0.098763,                   0,           0.0007003,           0.0007003,           0.0007003
                   8,            0.038703,            0.034346,                   0,             0.62723,             0.22802,              0.2551,             0.16197,            0.065337,            0.099526,                   0,          0.00065035,          0.00065035,          0.00065035
                   9,            0.038483,            0.034237,                   0,             0.62244,             0.22893,             0.25514,             0.16265,            0.065802,            0.099443,                   0,           0.0006004,           0.0006004,           0.0006004
                  10,            0.038256,            0.034073,                   0,             0.62991,             0.22862,             0.25586,             0.16365,            0.065786,             0.10027,                   0,          0.00055045,          0.00055045,          0.00055045
                  11,            0.038148,            0.033971,                   0,              0.6312,             0.22799,             0.25563,             0.16341,            0.065928,             0.10034,                   0,           0.0005005,           0.0005005,           0.0005005
                  12,            0.037872,            0.033983,                   0,             0.62698,             0.22917,             0.25568,             0.16381,            0.066077,             0.10044,                   0,          0.00045055,          0.00045055,          0.00045055
                  13,            0.037762,            0.033523,                   0,             0.62603,             0.22868,             0.25578,             0.16385,            0.066178,             0.10051,                   0,           0.0004006,           0.0004006,           0.0004006
                  14,            0.037557,            0.033522,                   0,             0.63355,             0.22785,             0.25596,             0.16437,            0.066285,             0.10067,                   0,          0.00035065,          0.00035065,          0.00035065
                  15,             0.03746,            0.033641,                   0,              0.6361,             0.22802,             0.25624,             0.16448,            0.066443,              0.1006,                   0,           0.0003007,           0.0003007,           0.0003007
                  16,            0.037329,            0.033308,                   0,             0.63903,             0.22816,             0.25632,             0.16468,            0.066528,             0.10067,                   0,          0.00025075,          0.00025075,          0.00025075
                  17,            0.037179,            0.033386,                   0,             0.63583,             0.22879,             0.25642,             0.16483,             0.06661,             0.10069,                   0,           0.0002008,           0.0002008,           0.0002008
                  18,            0.037096,            0.033322,                   0,             0.63767,             0.22818,             0.25629,             0.16493,            0.066673,             0.10074,                   0,          0.00015085,          0.00015085,          0.00015085
                  19,            0.036935,            0.033096,                   0,             0.63608,             0.22837,             0.25639,             0.16498,            0.066723,             0.10077,                   0,           0.0001009,           0.0001009,           0.0001009
